date,Close Price,Change From Prev Day
8/24/2017,4362.47,171.25
8/25/2017,4408.32,45.85
8/26/2017,4387.46,-20.86
8/27/2017,4394.51,7.05
8/28/2017,4439.66,45.15
8/29/2017,4648.13,208.47
8/30/2017,4630.73,-17.4
8/31/2017,4764.87,134.14
9/1/2017,4950.72,185.85
9/2/2017,4643.97,-306.75
9/3/2017,4631.69,-12.28
9/4/2017,4319.72,-311.97
9/5/2017,4422.12,102.4
9/6/2017,4626.72,204.6
9/7/2017,4638.1,11.38
9/8/2017,4317.54,-320.56
9/9/2017,4291.88,-25.66
9/10/2017,4191.17,-100.71
9/11/2017,4188.84,-2.33
9/12/2017,4148.27,-40.57
9/13/2017,3874.26,-274.01
9/14/2017,3226.41,-647.85
9/15/2017,3686.9,460.49
9/16/2017,3678.74,-8.16
9/17/2017,3672.57,-6.17
9/18/2017,4067.08,394.51
9/19/2017,3897,-170.08
9/20/2017,3858.09,-38.91
9/21/2017,3612.68,-245.41
9/22/2017,3603.31,-9.37
9/23/2017,3777.29,173.98
9/24/2017,3662.12,-115.17
9/25/2017,3927.5,265.38
9/26/2017,3895.51,-31.99
9/27/2017,4208.56,313.05
9/28/2017,4185.29,-23.27
9/29/2017,4164.1,-21.19
9/30/2017,4353.05,188.95
10/1/2017,4394.64,41.59
10/2/2017,4404.1,9.46
10/3/2017,4320.09,-84.01
10/4/2017,4225.92,-94.17
10/5/2017,4322.75,96.83
10/6/2017,4370.24,47.49
10/7/2017,4437.03,66.79
10/8/2017,4596.96,159.93
10/9/2017,4772.97,176.01
10/10/2017,4754.7,-18.27
10/11/2017,4830.77,76.07
10/12/2017,5439.13,608.36
10/13/2017,5640.13,201
10/14/2017,5809.69,169.56
10/15/2017,5697.39,-112.3
10/16/2017,5754.22,56.83
10/17/2017,5595.23,-158.99
10/18/2017,5572.2,-23.03
10/19/2017,5699.58,127.38
10/20/2017,5984.09,284.51
10/21/2017,6013.23,29.14
10/22/2017,5984.96,-28.27
10/23/2017,5895.3,-89.66
10/24/2017,5518.85,-376.45
10/25/2017,5733.9,215.05
10/26/2017,5888.14,154.24
10/27/2017,5767.68,-120.46
10/28/2017,5732.82,-34.86
10/29/2017,6140.53,407.71
10/30/2017,6121.8,-18.73
10/31/2017,6447.67,325.87
11/1/2017,6750.17,302.5
11/2/2017,7030,279.83
11/3/2017,7161.45,131.45
11/4/2017,7387,225.55
11/5/2017,7382.45,-4.55
11/6/2017,6958.21,-424.24
